PDF,Model,Watt(W),DC Voltage(V),Additional Option(Type),Method
IRM-30-SPEC.PDF,IRM-30-48,30.2,48,,ordered
IRM-30-SPEC.PDF,IRM-30-5,30,5,,ordered
IRM-45-SPEC.PDF,IRM-45-12,45.6,12,,ordered
IRM-45-SPEC.PDF,IRM-45-15,45,15,,ordered
IRM-45-SPEC.PDF,IRM-45-24,45.6,24,,ordered
IRM-45-SPEC.PDF,IRM-45-48,45.12,48,,ordered
IRM-45-SPEC.PDF,IRM-45-5,40,5,,ordered
IRM-60-SPEC.PDF,IRM-60-12,60,12,,ordered
IRM-60-SPEC.PDF,IRM-60-15,60,15,,ordered
IRM-60-SPEC.PDF,IRM-60-24,60,24,,ordered
IRM-60-SPEC.PDF,IRM-60-48,60,48,,ordered
IRM-60-SPEC.PDF,IRM-60-5,50,5,,ordered
IRM-90-spec.pdf,IRM-90-12,90,48,,single-power-for-all
IRM-90-spec.pdf,IRM-90-15,90,48,,single-power-for-all
IRM-90-spec.pdf,IRM-90-24,90,48,,single-power-for-all
IRM-90-spec.pdf,IRM-90-48,90,48,,single-power-for-all
ISI-501-SPEC.PDF,ISI-501-112,450,12,,ordered-truncated
ISI-501-SPEC.PDF,ISI-501-124,500,24,,ordered-truncated
ISI-501-SPEC.PDF,ISI-501-148,450,48,,ordered-truncated
ISI-501-SPEC.PDF,ISI-501-212,500,12,,ordered-truncated
KAA-4R4V-S-spec.pdf,KAA-4R4V-10S,4,4,Blank,single-power-for-all
KAA-4R4V-S-spec.pdf,KAA-4R4V-10S-14MA,4,4,Blank,single-power-for-all
KAA-8R-S-spec.pdf,KAA-8R-10S,8,31,Blank,single-power-for-all
KAA-8R-S-spec.pdf,KAA-8R-16S,8,31,Blank,single-power-for-all
KAA-8R-S-spec.pdf,KAA-8R-S-10MA,8,31,Blank,single-power-for-all
KNX-20E-640-spec.pdf,KNX-20E-640,19.2,30,,ordered
KNX-40E-1280-SPEC.pdf,KNX-40E-1280(D),40,,1280MA|Blank|D,single-power-for-all
KNX-40E-1280-SPEC.pdf,KNX-40E-1280(D)-1280MA,40,,1280MA|Blank|D,single-power-for-all
KSC-01L-spec.pdf,KSC-01L,1,,,single-power-for-all
KSC-01L-spec.pdf,KSC-02L,1,,,single-power-for-all
KSI-01U-spec.pdf,KSI-01U,1,,,ordered
KSR-01IP-spec.pdf,KSR-01IP,1,,,single-power-for-all
KSR-01IP-spec.pdf,KSR-02IP,1,,,single-power-for-all
LAD-120-spec.pdf,LAD-120A,120,13.8,,ordered-truncated
LAD-120-spec.pdf,LAD-120B,121.4,13.8,,ordered-truncated
LAD-120-spec.pdf,LAD-120C,120.35,27.6,,ordered-truncated
LAD-120-spec.pdf,LAD-120D,121.99,27.6,,ordered-truncated
LAD-240-spec.pdf,LAD-240A,200,13.8,,single-power-for-all
LAD-240-spec.pdf,LAD-240B,200,13.8,,single-power-for-all
LAD-240-spec.pdf,LAD-240C,200,27.6,,single-power-for-all
LAD-240-spec.pdf,LAD-240D,200,27.6,,single-power-for-all
LAD-240-spec.pdf,LAD-240D-CH1,200,41.5,,single-power-for-all
LAD-360-spec.pdf,LAD-360B,200,21.5,,single-power-for-all
LAD-360-spec.pdf,LAD-360C,200,0.5,,single-power-for-all
LAD-360-spec.pdf,LAD-360D,200,32,,single-power-for-all
LAD-360-spec.pdf,LAD-360D-CH1,200,0.5,,single-power-for-all
LAD-600-spec.pdf,LAD-600B,200,27.6,,single-power-for-all
LAD-600-spec.pdf,LAD-600C,200,27.6,,single-power-for-all
LAD-600-spec.pdf,LAD-600D,200,41.5,,single-power-for-all
LAD-600-spec.pdf,LAD-600D-CH1,200,41.5,,single-power-for-all
LCM-25DA-SPEC.PDF,LCM-25,25,54,,single-power-for-all
LCM-25-SPEC.PDF,LCM-25-350MA,25,54,,ordered
LCM-25DA-SPEC.PDF,LCM-25-350MA,25,50,,single-power-for-all
LCM-25KN-spec.pdf,LCM-25KN-350MA,25,54,,ordered
LCM-40(EO)-SPEC.PDF,LCM-40,40,100,Blank|EO,single-power-for-all
LCM-40DA-SPEC.PDF,LCM-40,40,100,Blank|AUX,single-power-for-all
LCM-40-spec.pdf,LCM-40-350MA,40,100,Blank|EO,ordered
LCM-40(EO)-SPEC.PDF,LCM-40-350MA,40,80,Blank|EO,single-power-for-all
LCM-40DA-SPEC.PDF,LCM-40-350MA,40,80,Blank|AUX,single-power-for-all
LCM-40KN-spec.pdf,LCM-40KN-,40,100,Blank|AUX,single-power-for-all
LCM-40KN-spec.pdf,LCM-40KN-350MA,40,80,Blank|AUX,single-power-for-all
LCM-40TW-spec.pdf,LCM-40TW,40,50,,ordered
LCM-40U(EO)-spec.pdf,LCM-40U,35,100,,single-power-for-all
LCM-40U(EO)-spec.pdf,LCM-40U-350MA,35,70,,single-power-for-all
LCM-40UDA-SPEC.PDF,LCM-40UDA-,35,100,Blank|AUX,single-power-for-all
LCM-40UDA-SPEC.PDF,LCM-40UDA-350MA,35,70,Blank|AUX,single-power-for-all
LCM-60(EO)-SPEC.PDF,LCM-60,60,90,Blank|EO,single-power-for-all
LCM-60DA-SPEC.PDF,LCM-60,60,90,Blank|AUX,single-power-for-all
LCM-60-spec.pdf,LCM-60-500MA,60,90,Blank|EO,ordered
LCM-60(EO)-SPEC.PDF,LCM-60-500MA,60,90,Blank|EO,single-power-for-all
LCM-60DA-SPEC.PDF,LCM-60-500MA,60,90,Blank|AUX,single-power-for-all
LCM-60KN-spec.pdf,LCM-60KN-,60,90,Blank|AUX,single-power-for-all
LCM-60KN-spec.pdf,LCM-60KN-500MA,60,90,Blank|AUX,single-power-for-all
LCM-60U(EO)-spec.pdf,LCM-60U,50,90,,single-power-for-all
LCM-60U(EO)-spec.pdf,LCM-60U-500MA,50,84,,single-power-for-all
LCM-60UDA-SPEC.PDF,LCM-60UDA-,50,90,Blank|AUX,single-power-for-all
LCM-60UDA-SPEC.PDF,LCM-60UDA-500MA,50,84,Blank|AUX,single-power-for-all
LDC-35-spec.pdf,LDC-35,35,60,Blank|B|DA,ordered
LDC-55-spec.pdf,LDC-55,55,60,Blank|B|DA|DA2,ordered
LDC-80-spec.pdf,LDC-80,80,60,Blank|B|DALI|DA,ordered
LDH-25-spec.pdf,LDH-25-250,25.2,24,,single-power-for-all
LDH-25-spec.pdf,LDH-25-350,25.2,12,,single-power-for-all
LDH-25-spec.pdf,LDH-25-500,25.2,24,,single-power-for-all
LDH-25-spec.pdf,LDH-25-500-500MA,25.2,24,,single-power-for-all
LDH-25-spec.pdf,LDH-25-700,25.2,12,,single-power-for-all
LDH-45-spec.pdf,LDH-45A-1050,45.15,,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45A-1050,45.15,,,single-power-for-all
LDH-45-spec.pdf,LDH-45A-350,45.15,,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45A-350,45.15,,,single-power-for-all
LDH-45-spec.pdf,LDH-45A-500,45.15,1.3,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45A-500,45.15,1.3,,single-power-for-all
LDH-45-spec.pdf,LDH-45A-700,45.15,8,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45A-700,45.15,8,,single-power-for-all
LDH-45-spec.pdf,LDH-45B-350,45.15,8,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45B-350,45.15,8,,single-power-for-all
LDH-45-spec.pdf,LDH-45B-500,45.15,,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45B-500,45.15,,,single-power-for-all
LDH-45-spec.pdf,LDH-45B-500-700MA,45.15,,,single-power-for-all
LDH-45(DA)-SPEC.PDF,LDH-45B-500-700MA,45.15,,,single-power-for-all
LDH-65-spec.pdf,LDH-65-1400,63,24,,ordered-truncated
LDH-65-spec.pdf,LDH-65-1750,56,12,,ordered-truncated
LDH-65-spec.pdf,LDH-65-700,64.4,12,,ordered-truncated
LOP-200.pdf,LOP-200,300,12,,single-model-first-power
LOP-300.pdf,LOP-300-,450,12,,ordered
LOP-300.pdf,LOP-300-12,450,12,,ordered
LOP-300.pdf,LOP-300-15,450,12,,ordered
LOP-300.pdf,LOP-300-18,450,12,,ordered
LOP-300.pdf,LOP-300-24,450,12,,ordered
LOP-300.pdf,LOP-300-27,450,12,,ordered
LOP-300.pdf,LOP-300-36,450,12,,ordered
LOP-300.pdf,LOP-300-48,450,12,,ordered
LOP-300.pdf,LOP-300-54,450,12,,ordered
LOP-400.pdf,LOP-400-12,400.8,12,,ordered-truncated
LOP-400.pdf,LOP-400-15,402.3,12,,ordered-truncated
LOP-400.pdf,LOP-400-18,403.2,12,,ordered-truncated
LOP-400.pdf,LOP-400-24,403.2,12,,ordered-truncated
LOP-400.pdf,LOP-400-27,405,12,,ordered-truncated
LOP-500.pdf,LOP-500-12,500,,,single-power-for-all
LOP-500.pdf,LOP-500-15,500,,,single-power-for-all
LOP-500.pdf,LOP-500-18,500,,,single-power-for-all
LOP-500.pdf,LOP-500-24,500,31.2,,single-power-for-all
LOP-500.pdf,LOP-500-27,500,35.1,,single-power-for-all
LOP-500.pdf,LOP-500-36,500,46.8,,single-power-for-all
LOP-500.pdf,LOP-500-48,500,62.4,,single-power-for-all
LOP-500.pdf,LOP-500-54,500,67.5,,single-power-for-all
LOP-600.pdf,LOP-600-12,900,12,,ordered-truncated
LOP-600.pdf,LOP-600-15,899.1,12,,ordered-truncated
LOP-600.pdf,LOP-600-18,900,12,,ordered-truncated
LOP-600.pdf,LOP-600-24,902.4,12,,ordered-truncated
LOP-600.pdf,LOP-600-27,901.8,12,,ordered-truncated
LPC-100-SPEC.pdf,LPC-100-1050,100.1,96,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-1400,100.1,72,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-1750,100.1,58,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-2100,100.1,48,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-350,100.1,286,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-500,100.1,200,,single-power-for-all
LPC-100-SPEC.pdf,LPC-100-700,100.1,143,,single-power-for-all
LPC-150-SPEC.pdf,LPC-150-1050,151.2,72,,x-position
LPC-150-SPEC.pdf,LPC-150-1400,151.2,144,,x-position
LPC-150-SPEC.pdf,LPC-150-2450,151.9,31,,x-position
LPC-150-SPEC.pdf,LPC-150-3150,151.2,24,,x-position
LPC-20-SPEC.pdf,LPC-20-350,16.8,48,,ordered
LPC-20-SPEC.pdf,LPC-20-700,21,30,,ordered
LPC-35-SPEC.pdf,LPC-35-1050,31.5,30,,ordered
LPC-35-SPEC.pdf,LPC-35-1400,33.6,24,,ordered
LPC-35-SPEC.pdf,LPC-35-700,33.6,48,,ordered
LPC-60-SPEC.pdf,LPC-60-1050,50.4,48,,ordered
LPC-60-SPEC.pdf,LPC-60-1400,58.8,42,,ordered
LPC-60-SPEC.pdf,LPC-60-1750,59.5,34,,ordered
LPF-16-SPEC.PDF,LPF-16-12,16.05,12,Blank|P,ordered-truncated
LPF-16-SPEC.PDF,LPF-16-15,16,15,Blank|P,ordered-truncated
LPF-16-SPEC.PDF,LPF-16-20,16.08,20,Blank|P,ordered-truncated
LPF-16-SPEC.PDF,LPF-16-24,16.2,24,Blank|P,ordered-truncated
LPF-16-SPEC.PDF,LPF-16-30,16.32,30,Blank|P,ordered-truncated
LPF-16-SPEC.PDF,LPF-16-36,16.2,48,Blank|P,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-12,16.08,12,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-15,16.05,15,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-20,16,20,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-24,16.08,24,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-30,16.2,30,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-36,16.32,48,,ordered-truncated
LPF-16D-SPEC.PDF,LPF-16D-42,16.2,54,,ordered-truncated
LPF-25-SPEC.PDF,LPF-25-12,25.2,12,,x-position
LPF-25-SPEC.PDF,LPF-25-15,25.05,15,,x-position
LPF-25-SPEC.PDF,LPF-25-20,25,20,,x-position
LPF-25-SPEC.PDF,LPF-25-24,25.2,24,,x-position
LPF-25-SPEC.PDF,LPF-25-30,25.2,30,,x-position
LPF-25-SPEC.PDF,LPF-25-36,25.44,48,,x-position
LPF-25-SPEC.PDF,LPF-25-42,25.38,54,,x-position
LPF-25D-SPEC.PDF,LPF-25D-12,25.2,12,,ordered-truncated
LPF-25D-SPEC.PDF,LPF-25D-15,25.05,15,,ordered-truncated
LPF-25D-SPEC.PDF,LPF-25D-20,25.2,20,,ordered-truncated
LPF-25D-SPEC.PDF,LPF-25D-24,25.2,24,,ordered-truncated
LPF-25D-SPEC.PDF,LPF-25D-30,25.44,30,,ordered-truncated
LPF-25D-SPEC.PDF,LPF-25D-36,25.38,48,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-12,40.08,12,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-15,40.08,15,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-20,40,20,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-24,40.08,24,,ordered-truncated
