"Model","Watt(W)","Sources","DistinctPDFs","Note"
"EPS-45-48","48","1","1",""
"EPS-45-5","40","1","1",""
"EPS-45-7.5","40.5","1","1",""
"EPS-65-15","65.1","1","1",""
"EPS-65-3.3","36.3","1","1",""
"EPS-65-48","65.28","1","1",""
"EPS-65-5","55","1","1",""
"EPS-65-7.5","60","1","1",""
"ERDN40","1.5","1","1",""
"ERG-5000(H)","6000","1","1",""
"ERP-200-12","200.4","1","1",""
"ERP-200-24","199.92","1","1",""
"ERP-350","320.4","1","1",""
"ERPF-400","360","1","1",""
"ES60601-1","140","1","1",""
"ES60601-1/-1-11","36","6","6","multiple watt values detected across PDFs"
"ES60601-1-11","45","6","6","multiple watt values detected across PDFs"
"GB4943.1","18","26","26","multiple watt values detected across PDFs"
"GC120AXX-R7B","102","1","1",""
"GC160AXX-R7B","136","1","1",""
"GC220AXX-R7B","183.6","1","1",""
"GC30B-0P1J","16.8","1","1",""
"GC30B-11P1J","21.6","1","1",""
"GC30B-1P1J","22.38","1","1",""
"GC30B-2P1J","25.2","1","1",""
"GC30B-4P1J","30","1","1",""
"GC30B-5P1J","27","1","1",""
"GC30B-6P1J","30","1","1",""
"GC30E-0P1J","16.8","1","1",""
"GC30E-11P1J","21.6","1","1",""
"GC30E-1P1J","22.38","1","1",""
"GC30E-2P1J","25.2","1","1",""
"GC30E-4P1J","30","1","1",""
"GC30E-5P1J","27","1","1",""
"GC30E-6P1J","30","1","1",""
"GC30U-0P1J","16.8","1","1",""
"GC30U-11P1J","21.6","1","1",""
"GC30U-1P1J","22.38","1","1",""
"GC30U-2P1J","25.2","1","1",""
"GC30U-4P1J","30","1","1",""
"GC30U-5P1J","27","1","1",""
"GC30U-6P1J","30","1","1",""
"GC330","326.4","1","1",""
"GP25A","28.5","1","1",""
"GP25B","28.5","1","1",""
"GP50A","46.5","1","1",""
"HDR-100-12","0.3","1","1",""
"HDR-100-12N","0.3","1","1",""
"HDR-100-15N","0.3","1","1",""
"HDR-100-24","0.3","1","1",""
"HDR-100-24N","0.3","1","1",""
"HDR-100-48","0.3","1","1",""
"HDR-100-48N","0.3","1","1",""
"HDR-15","12","1","1",""
"HDR-150","150","1","1",""
"HDR-30","15","1","1",""
"HDR-60","54","1","1",""
"HEP-1000","1000","1","1",""
"HLN-40H-12","40","1","1",""
"HLN-40H-15","40","1","1",""
"HLN-40H-20","40","1","1",""
"HLN-40H-24","40.1","1","1",""
"HLN-40H-30","40.2","1","1",""
"HLN-40H-36","40.3","1","1",""
"HLN-40H-42","40.5","1","1",""
"HLN-60H-15","60","1","1",""
"HLN-60H-20","60","1","1",""
"HLN-60H-24","60","1","1",""
"HLN-60H-30","60","1","1",""
"HLN-60H-36","62.4","1","1",""
"HLN-60H-42","62.1","1","1",""
"HLN-80H-12","60","1","1",""
"HLN-80H-15","75","1","1",""
"HLN-80H-20","80","1","1",""
"HLN-80H-24","81.6","1","1",""
"HLN-80H-30","81","1","1",""
"HLN-80H-36","81.6","1","1",""
"HLN-80H-42","81","1","1",""
"HLP-60H-15","60","1","1",""
"HLP-60H-20","60","1","1",""
"HLP-60H-24","60","1","1",""
"HLP-60H-30","60","1","1",""
"HLP-60H-36","62.4","1","1",""
"HLP-60H-42","62.1","1","1",""
"HLP-80H-12","60","1","1",""
"HLP-80H-15","75","1","1",""
"HLP-80H-20","80","1","1",""
"HLP-80H-24","81.6","1","1",""
"HLP-80H-30","81","1","1",""
"HLP-80H-36","81.6","1","1",""
"HLP-80H-42","81","1","1",""
"HRP-100-12","102","1","1",""
"HRP-100-15","105","1","1",""
"HRP-100-24","108","1","1",""
"HRP-100-3.3","66","1","1",""
"HRP-100-36","104.4","1","1",""
"HRP-100-48","105.6","1","1",""
"HRP-100-5","85","1","1",""
"HRP-100-7.5","101.3","1","1",""
"HRP-150-12","156","1","1",""
"HRP-150-15","150","1","1",""
"HRP-150-24","156","1","1",""
"HRP-150-3.3","99","1","1",""
"HRP-150-36","154.8","1","1",""
"HRP-150-48","158.4","1","1",""
"HRP-150-5","130","1","1",""
"HRP-150-7.5","150","1","1",""
"HRP-150N3-36","156","1","1",""
"HRP-200-12","200.4","1","1",""
"HRP-200-15","201","1","1",""
"HRP-200-24","201.6","1","1",""
"HRP-200-3.3","132","1","1",""
"HRP-200-36","205.2","1","1",""
"HRP-200-48","206.4","1","1",""
"HRP-200-5","175","1","1",""
"HRP-200-7.5","200.3","1","1",""
"HRP-300-12","324","1","1",""
"HRP-300-15","330","1","1",""
"HRP-300-24","336","1","1",""
"HRP-300-3.3","198","1","1",""
"HRP-300-36","324","1","1",""
