"SpecPath","ModelAliases","MatchedThumbnailCount","MatchedThumbnails"
"EPS\IRM\IRM-60-SPEC.pdf","IRM-60","3","IRM-60.jpg; IRM-60-12.jpg; IRM-60-24.jpg"
"EPS\IRM\IRM-90-spec.pdf","IRM-90","0",""
"EPS\LOP\LOP-200-spec.pdf","LOP-200","4","LOP-200.jpg; LOP-200-12.jpg; LOP-200-15.jpg; LOP-200-24.jpg"
"EPS\LOP\LOP-300-spec.pdf","LOP-300","4","LOP-300.jpg; LOP-300-12.jpg; LOP-300-24.jpg; LOP-300-48.jpg"
"EPS\LOP\LOP-400-spec.pdf","LOP-400","3","LOP-400.jpg; LOP-400-12.jpg; LOP-400-24.jpg"
"EPS\LOP\LOP-500-spec.pdf","LOP-500","3","LOP-500.jpg; LOP-500-12.jpg; LOP-500-24.jpg"
"EPS\LOP\LOP-600-spec.pdf","LOP-600","3","LOP-600.jpg; LOP-600-24.jpg; LOP-600-48.jpg"
"EPS\LRS\LRS-100-SPEC.pdf","LRS-100","6","LRS-100.jpg; LRS-100-12.jpg; LRS-100-24.jpg; LRS-100-36.jpg; LRS-100-48.jpg; LRS-100-5.jpg"
"EPS\LRS\LRS-1200-spec.pdf","LRS-1200","5","LRS-1200.jpg; LRS-1200-12.jpg; LRS-1200-24.jpg; LRS-1200-36.jpg; LRS-1200-48.jpg"
"EPS\LRS\LRS-150F-spec.pdf","LRS-150F","6","LRS-150F.jpg; LRS-150F-12.jpg; LRS-150F-15.jpg; LRS-150F-24.jpg; LRS-150F-36.jpg; LRS-150F-5.jpg"
"EPS\LRS\LRS-150-SPEC.pdf","LRS-150","6","LRS-150.jpg; LRS-150-12.jpg; LRS-150-15.jpg; LRS-150-24.jpg; LRS-150-36.jpg; LRS-150-48.jpg"
"EPS\LRS\LRS-200-SPEC.pdf","LRS-200","7","LRS-200.jpg; LRS-200-12.jpg; LRS-200-15.jpg; LRS-200-24.jpg; LRS-200-36.jpg; LRS-200-48.jpg; LRS-200-5.jpg"
"EPS\LRS\LRS-350-SPEC.pdf","LRS-350","6","LRS-350.jpg; LRS-350-12.jpg; LRS-350-15.jpg; LRS-350-24.jpg; LRS-350-48.jpg; LRS-350-5.jpg"
"EPS\LRS\LRS-35-SPEC.pdf","LRS-35","7","LRS-35.jpg; LRS-35-12.jpg; LRS-35-15.jpg; LRS-35-24.jpg; LRS-35-36.jpg; LRS-35-48.jpg; LRS-35-5.jpg"
"EPS\LRS\LRS-450-spec.pdf","LRS-450","7","LRS-450.jpg; LRS-450-12.jpg; LRS-450-15.jpg; LRS-450-24.jpg; LRS-450-36.jpg; LRS-450-48.jpg; LRS-450-5.jpg"
"EPS\LRS\LRS-50-SPEC.pdf","LRS-50","8","LRS-50.jpg; LRS-50-12.jpg; LRS-50-15.jpg; LRS-50-24.jpg; LRS-50-3.3.jpg; LRS-50-36.jpg; LRS-50-48.jpg; LRS-50-5.jpg"
"EPS\LRS\LRS-75-SPEC.pdf","LRS-75","3","LRS-75.jpg; LRS-75-15.jpg; LRS-75-36.jpg"
"EPS\MSP\MSP-1000-spec.pdf","MSP-1000","0",""
"EPS\MSP\MSP-100-SPEC.pdf","MSP-100","2","MSP-100.jpg; MSP-100-24.jpg"
"EPS\MSP\MSP-200-SPEC.pdf","MSP-200","0",""
"EPS\MSP\MSP-300-SPEC.pdf","MSP-300","4","MSP-300.jpg; MSP-300-12.jpg; MSP-300-24.jpg; MSP-300-36.jpg"
"EPS\MSP\MSP-450-SPEC.pdf","MSP-450","3","MSP-450.jpg; MSP-450-24.jpg; MSP-450-48.jpg"
"EPS\MSP\MSP-600-SPEC.pdf","MSP-600","0",""
"EPS\PSP\PSP-600-SPEC.pdf","PSP-600","1","PSP-600.jpg"
"EPS\PSP\PSPA-1000-spec.pdf","PSPA-1000","0",""
"EPS\RD\RD-125-SPEC.pdf","RD-125","4","RD-125.jpg; RD-125-2448.jpg; RD-125A.jpg; RD-125B.jpg"
"EPS\RD\RD-35-SPEC.pdf","RD-35","3","RD-35.jpg; RD-35A.jpg; RD-35B.jpg"
"EPS\RD\RD-50-SPEC.pdf","RD-50","3","RD-50.jpg; RD-50A.jpg; RD-50B.jpg"
"EPS\RD\RD-65-SPEC.pdf","RD-65","3","RD-65.jpg; RD-65A.jpg; RD-65B.jpg"
"EPS\RD\RD-85-SPEC.pdf","RD-85","3","RD-85.jpg; RD-85A.jpg; RD-85B.jpg"
"EPS\RD\RID-125-SPEC.pdf","RID-125","2","RID-125.jpg; RID-125-2405.jpg"
"EPS\RD\RID-50-spec.pdf","RID-50","0",""
"EPS\RD\RID-65-SPEC.pdf","RID-65","0",""
"EPS\RD\RID-85-SPEC.pdf","RID-85","0",""
"EPS\RPS\RPS-120-SPEC.pdf","RPS-120","7","RPS-120.jpg; RPS-120-12.jpg; RPS-120-12-C.jpg; RPS-120-15.jpg; RPS-120-24.jpg; RPS-120-C.jpg; X - RPS-120-15.jpg"
"EPS\RPS\RPS-120S-spec.pdf","RPS-120S","0",""
"EPS\RPS\RPS-200-SPEC.pdf","RPS-200","5","RPS-200.jpg; RPS-200-12.jpg; RPS-200-24.jpg; RPS-200-27.jpg; RPS-200-48.jpg"
"EPS\RPS\RPS-300-SPEC.pdf","RPS-300","0",""
"EPS\RPS\RPS-400-SPEC.pdf","RPS-400","0",""
"EPS\RPS\RPS-45-SPEC.pdf","RPS-45","2","RPS-45.jpg; RPS-45-5.jpg"
"EPS\RPS\RPS-500-spec.pdf","RPS-500","0",""
"EPS\RPS\RPS-60-SPEC.pdf","RPS-60","0",""
"EPS\RPS\RPS-65-SPEC.pdf","RPS-65","3","RPS-65.jpg; RPS-65-12.jpg; RPS-65-5.jpg"
"EPS\RPS\RPS-75-SPEC.pdf","RPS-75","5","RPS-75.jpg; RPS-75-12.jpg; RPS-75-24.jpg; RPS-75-48.jpg; RPS-75-5.jpg"
"EPS\RS\RS-100-SPEC.pdf","RS-100","1","RS-100.jpg"
"EPS\RS\RS-150-SPEC.pdf","RS-150","3","RS-150.jpg; RS-150-12.jpg; RS-150-5.jpg"
"EPS\RS\RS-15-SPEC.pdf","RS-15","6","RS-15.jpg; RS-15-12.jpg; RS-15-15.jpg; RS-15-24.jpg; RS-15-3.3.jpg; RS-15-5.jpg"
"EPS\RS\RS-25-SPEC.pdf","RS-25","3","RS-25.jpg; RS-25-15.jpg; RS-25-48.jpg"
"EPS\RS\RS-35-SPEC.pdf","RS-35","0",""
"EPS\RS\RS-50-SPEC.pdf","RS-50","4","RS-50.jpg; RS-50-15.jpg; RS-50-3.3.jpg; RS-50-5.jpg"
"EPS\RS\RS-75-SPEC.pdf","RS-75","2","RS-75.jpg; RS-75-12.jpg"
"EPS\RSP\PSP-600-SPEC.pdf","PSP-600","1","PSP-600.jpg"
"EPS\RSP\RSP-1000-SPEC.pdf","RSP-1000","2","RSP-1000.jpg; RSP-1000-36.jpg"
"EPS\RSP\RSP-100-SPEC.pdf","RSP-100","4","RSP-100.jpg; RSP-100-12.jpg; RSP-100-24.jpg; RSP-100-5.jpg"
